Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24.0,2000,4,1,156,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.7,0.00,0.39,2,2,9,1,1,100.0,0.58,0.58,0.00,0.00,8.2,0,0,0,0.1,0.1,0.13,-0.1,-0.1,32,43,74.4,363,72,0,0.5,0.6,-0.5,3,2,2,0,2,38,3,2,0,0,2,1,0,0,0,0,32,9,6,5,2,2,9,66.7,3,5,0,5,0,9,4,0,4,2.31,3,0,0,0,0,1,0,0.00,77,1,21,25,32,5,77,6,4,66.7,2,33.3,36,182,81,2,1,0,5,3,36,9,0,0,0,2,4,0,2,0,6,0,0,0,7,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19.0,2006,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.14,5,0,15,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,21,26,80.8,320,36,0,0.1,0.1,-0.1,2,0,1,1,0,22,4,0,0,0,5,4,0,0,0,0,21,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,4,10.59,4,0,0,0,0,0,0,0.00,30,0,1,9,20,0,30,2,0,0.0,1,50.0,19,158,94,5,0,0,1,1,22,15,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25.0,1999,1,0,20,0.2,1,0,1,0,1,1,0,0,0.8,0.0,0.0,0.0,0.00,3.55,0,5,1,0,0,,0.00,0.00,,,,0,1,1,0.8,0.0,,+0.2,0.0,15,17,88.2,335,198,0,0.0,0.1,0.0,0,4,1,0,5,17,0,0,1,0,0,0,0,0,0,0,15,1,1,1,0,0,1,100.0,0,0,0,0,0,1,1,0,3,13.50,3,0,0,0,0,0,1,4.50,20,1,4,10,6,1,19,1,0,0.0,1,100.0,14,42,24,0,1,0,0,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,3,2,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,79,84,94.0,1037,239,0,0.0,0.0,0.0,0,6,0,0,1,83,1,1,0,0,0,0,0,0,0,0,79,2,0,2,0,0,2,50.0,1,1,0,1,1,3,0,0,1,0.66,1,0,0,0,0,0,0,0.00,92,3,17,65,10,0,92,0,0,,0,,58,296,147,1,1,0,3,1,71,0,0,0,0,3,0,0,0,1,0,0,0,0,5,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26.0,1999,3,0,45,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,2.00,1.01,1,6,9,1,0,0.0,2.00,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0,38,44,86.4,540,236,1,0.5,0.8,+0.5,2,0,2,0,6,38,6,1,0,0,4,5,0,0,0,0,38,2,1,1,1,0,4,50.0,2,1,0,1,0,2,0,0,4,8.00,4,0,0,0,0,0,1,2.00,51,0,11,9,31,4,51,3,1,33.3,1,33.3,27,88,47,1,0,0,1,0,34,9,0,0,0,0,1,0,4,0,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993,4,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,0.00,0.11,5,27,6,5,1,20.0,1.25,0.25,0.00,0.00,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,235,267,88.0,4461,1415,0,0.3,0.2,-0.3,3,37,4,1,27,251,15,15,1,2,2,0,0,0,0,0,235,8,5,5,0,3,8,50.0,4,2,0,2,2,10,8,1,9,2.25,7,1,0,1,0,0,0,0.00,300,12,76,182,45,2,300,3,0,0.0,3,100.0,179,691,423,5,4,0,4,3,230,6,2,0,0,9,5,0,2,2,5,0,1,0,16,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22.0,2003,4,1,176,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0.00,0.09,9,1,5,4,1,25.0,2.05,0.51,0.00,0.00,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,15,27,55.6,280,64,0,0.0,0.1,0.0,2,2,1,1,1,27,0,0,0,0,3,0,0,0,0,0,15,1,0,0,0,1,0,,0,2,0,2,1,2,1,0,4,2.05,2,0,0,2,0,0,0,0.00,48,2,10,21,21,10,48,12,7,58.3,5,41.7,35,469,315,9,3,6,2,6,34,5,0,0,0,4,4,0,3,1,0,0,0,0,9,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Abner,br BRA,DF,Lyon,fr Ligue 1,25.0,2000,4,4,323,3.6,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,0.00,0.20,6,16,13,3,1,33.3,0.84,0.28,0.00,0.00,8.4,0,0,0,0.5,0.5,0.17,-0.5,-0.5,129,154,83.8,2028,837,0,0.2,0.2,-0.2,2,15,5,1,16,129,24,3,1,1,5,20,1,0,0,0,129,7,5,4,3,0,6,66.7,2,2,1,1,3,10,12,0,6,1.67,4,0,1,1,0,0,1,0.28,189,14,67,79,44,10,189,3,1,33.3,2,66.7,100,407,268,6,1,1,1,2,121,13,2,0,0,6,1,0,5,3,5,0,0,0,8,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Zakaria Aboukhlal,ma MAR,FW,Torino,it Serie A,25.0,2000,3,0,69,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.00,0.21,5,2,0,2,2,100.0,2.61,2.61,0.00,0.00,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,8,12,66.7,135,62,0,0.0,0.0,0.0,0,1,0,0,2,11,1,0,0,0,1,1,0,0,0,0,8,4,3,1,2,1,3,100.0,0,1,0,1,0,4,0,0,1,1.29,0,1,0,0,0,0,0,0.00,20,0,1,12,10,3,20,3,1,33.3,1,33.3,14,174,141,5,2,2,1,0,14,0,1,0,0,2,2,2,1,0,3,0,0,0,3,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.02,0,1,0,1,0,0.0,1.25,0.00,0.00,,32.5,0,0,0,0.0,0.0,0.02,0.0,0.0,22,29,75.9,462,106,0,0.0,0.0,0.0,0,2,0,0,1,27,2,1,0,2,0,1,0,0,0,0,22,2,1,2,0,0,1,100.0,0,1,0,1,2,4,2,0,0,0.00,0,0,0,0,0,0,0,0.00,39,2,23,15,1,0,39,0,0,,0,,24,104,49,0,0,0,1,0,24,0,0,0,0,1,2,0,0,2,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,17,22,77.3,252,67,0,0.0,0.0,0.0,0,1,0,0,1,22,0,0,0,0,0,0,0,0,0,0,17,4,2,2,2,0,1,100.0,0,5,3,2,2,6,1,0,1,1.27,1,0,0,0,0,0,0,0.00,35,3,16,15,4,1,35,1,0,0.0,1,100.0,11,36,22,0,0,0,0,0,15,0,0,0,0,1,2,0,0,2,2,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Giorgi Abuashvili,ge GEO,FW,Metz,fr Ligue 1,22.0,2003,3,2,141,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.00,0.12,7,5,6,4,0,0.0,2.55,0.00,0.00,,28.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,49,55,89.1,838,250,0,0.1,0.1,-0.1,2,6,1,1,5,49,6,0,0,2,6,2,4,0,3,0,49,4,1,3,1,0,3,33.3,2,3,1,2,0,4,1,0,4,2.55,1,2,1,0,0,0,0,0.00,76,4,16,39,21,0,76,8,2,25.0,6,75.0,38,306,223,7,4,1,1,5,47,6,0,0,0,1,1,0,6,0,1,0,0,0,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988,3,3,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.03,6,15,0,1,1,100.0,0.34,0.34,0.00,0.00,15.0,0,0,0,0.0,0.0,0.01,0.0,0.0,197,206,95.6,3971,1126,0,0.1,0.3,-0.1,2,10,2,1,15,204,2,2,0,0,1,0,0,0,0,0,197,1,1,1,0,0,0,,0,4,4,0,6,7,16,0,5,1.72,4,0,0,1,0,0,0,0.00,239,19,102,117,20,4,239,0,0,,0,,98,534,344,6,4,0,1,0,188,0,0,0,0,3,1,0,1,6,1,0,0,0,8,14,2,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ragnar Ache,de GER,"FW,DF",Köln,de Bundesliga,27.0,1998,3,0,51,0.6,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1.76,0.35,0,2,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,10,14,71.4,98,15,1,0.2,0.2,+0.8,2,1,1,0,2,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,2,3.53,2,0,0,0,0,0,1,1.76,23,2,3,11,10,4,23,1,0,0.0,1,100.0,9,22,5,0,1,0,2,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,3,4,4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.09,0,3,0,1,0,0.0,1.00,0.00,0.00,,4.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,87,93,93.5,1412,277,0,0.0,0.0,0.0,0,0,0,0,3,92,1,1,0,0,0,0,0,0,0,0,87,2,2,1,1,0,2,50.0,1,0,0,0,1,3,5,1,0,0.00,0,0,0,0,0,0,0,0.00,102,6,38,59,6,2,102,3,2,66.7,0,0.0,80,370,190,0,1,0,0,0,85,0,0,0,0,0,2,0,0,1,2,0,0,0,4,5,2,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25.0,2000,2,2,180,2.0,0,1,1,0,0,0,0,0,0.7,0.7,0.1,0.8,0.50,0.39,5,2,8,6,3,50.0,3.00,1.50,0.00,0.00,13.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,16,26,61.5,281,23,1,0.1,0.0,+0.9,1,0,1,0,2,23,3,0,0,0,4,0,0,0,0,0,16,1,0,0,0,1,0,,0,2,0,2,0,1,5,0,2,1.00,1,0,0,1,0,0,0,0.00,45,5,6,13,26,13,45,1,1,100.0,0,0.0,23,118,68,5,0,3,4,1,29,8,0,0,0,2,0,8,4,0,0,0,0,0,3,1,4,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996,3,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.00,0.08,1,0,6,2,0,0.0,2.17,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.02,0.0,0.0,10,18,55.6,133,13,0,0.0,0.0,0.0,1,0,0,0,0,16,1,0,0,0,2,0,0,0,0,0,10,3,3,2,0,1,1,100.0,0,0,0,0,0,3,1,0,3,3.25,1,0,1,0,1,0,0,0.00,30,0,5,8,17,2,30,4,3,75.0,1,25.0,16,91,16,1,1,0,4,0,18,6,0,0,0,1,1,0,2,0,3,0,0,0,4,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26.0,1999,4,4,356,4.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0.00,0.02,0,10,4,2,2,100.0,0.51,0.51,0.00,0.00,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,132,164,80.5,2281,539,0,0.0,0.1,0.0,1,13,0,0,10,158,6,6,0,0,0,0,0,0,0,0,132,11,5,5,5,1,14,57.1,6,7,3,4,8,19,8,0,5,1.26,4,0,0,0,0,1,2,0.51,210,17,66,121,26,3,210,4,2,50.0,1,25.0,88,371,206,0,2,0,3,1,101,4,3,0,0,6,5,1,0,8,5,0,0,0,21,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.00,4.21,0,0,2,1,0,0.0,15.00,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.28,-0.3,-0.3,1,1,100.0,10,5,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,3,0,0,1,2,1,3,0,0,,0,,3,11,6,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27.0,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,13,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,247,266,92.9,4506,1624,0,0.0,0.1,0.0,0,14,1,0,13,247,18,6,0,0,0,2,0,0,0,0,247,5,2,3,2,0,2,50.0,1,1,1,0,4,9,19,0,0,0.00,0,0,0,0,0,0,0,0.00,298,35,137,158,3,1,298,0,0,,0,,150,700,437,1,1,0,1,0,211,0,0,0,0,2,0,1,0,4,2,0,0,0,7,14,7,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Karim Adeyemi,de GER,FW,Dortmund,de Bundesliga,23.0,2002,3,2,114,1.3,0,1,1,0,0,0,1,0,0.3,0.3,0.9,1.2,0.79,0.94,2,2,18,4,2,50.0,3.16,1.58,0.00,0.00,13.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,18,26,69.2,226,44,1,0.9,1.2,+0.1,2,1,0,0,2,25,1,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,2,0.0,2,0,0,0,2,2,1,0,7,5.53,3,0,3,0,1,0,2,1.58,50,0,2,17,31,8,50,8,4,50.0,3,37.5,33,175,52,2,3,2,6,1,39,18,1,0,0,3,3,1,0,2,0,1,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23.0,2002,4,3,231,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,0.00,0.25,5,2,28,1,0,0.0,0.39,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,44,63,69.8,735,73,0,0.5,0.2,-0.5,4,0,3,1,2,62,1,0,1,0,9,1,0,0,0,0,44,3,3,1,2,0,3,66.7,1,1,0,1,0,3,4,0,7,2.73,6,0,1,0,0,0,1,0.39,91,3,11,33,47,2,91,7,3,42.9,3,42.9,65,352,165,5,1,0,5,5,68,28,1,0,0,4,2,2,9,0,3,0,0,0,7,3,3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Amine Adli,ma MAR,"MF,FW",Bournemouth,eng Premier League,25.0,2000,3,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.14,3,3,11,1,1,100.0,1.18,1.18,0.00,0.00,29.6,1,0,0,0.0,0.0,0.04,0.0,0.0,30,39,76.9,438,123,0,0.1,0.0,-0.1,2,1,1,0,3,38,1,0,1,1,3,1,0,0,0,0,30,7,3,2,2,3,6,83.3,1,2,0,2,2,9,3,0,5,6.00,3,0,1,0,0,1,0,0.00,59,2,15,17,28,1,59,5,2,40.0,3,60.0,31,250,179,3,3,0,1,0,30,11,0,0,0,3,3,0,3,2,3,0,0,0,8,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19.0,2006,1,0,18,0.2,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.00,0.10,0,1,0,1,1,100.0,5.00,5.00,1.00,1.00,35.0,0,0,0,0.0,0.0,0.02,+1.0,+1.0,7,8,87.5,97,24,0,0.0,0.0,0.0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,1,5.29,1,0,0,0,0,0,0,0.00,13,2,4,3,6,0,13,1,0,0.0,1,100.0,7,16,4,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28.0,1997,3,3,265,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.00,0.08,2,13,0,4,0,0.0,1.36,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,111,134,82.8,2027,417,0,0.1,0.0,-0.1,1,12,1,0,13,125,8,3,0,1,0,1,0,0,0,0,111,9,7,1,7,1,11,45.5,6,2,0,2,4,13,2,1,7,2.38,5,0,1,0,0,1,0,0.00,165,11,50,98,17,1,165,2,1,50.0,1,50.0,81,360,138,2,1,0,5,1,95,0,0,0,0,3,2,0,0,4,7,0,0,0,22,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,David Affengruber,at AUT,DF,Elche,es La Liga,24.0,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,18,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,249,276,90.2,4226,1421,0,0.0,0.1,0.0,0,15,2,0,18,264,12,7,0,2,0,0,0,0,0,0,249,10,4,9,1,0,8,87.5,1,3,1,2,9,19,24,0,0,0.00,0,0,0,0,0,0,0,0.00,321,30,121,196,6,1,321,0,0,,0,,173,935,527,1,1,0,0,0,211,0,0,0,0,5,8,0,0,9,4,0,0,0,29,7,1,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Oladapo Afolayan,eng ENG,FW,St. Pauli,de Bundesliga,27.0,1998,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,4,25.0,13,0,0,0.0,0.0,0.0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,8,1,1,1,6,2,8,1,0,0.0,1,100.0,3,9,2,0,0,0,2,0,5,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,0.00,0.07,1,11,1,3,0,0.0,0.75,0.00,0.00,,21.3,1,0,0,0.2,0.2,0.08,-0.2,-0.2,189,232,81.5,4367,1808,0,0.0,0.1,0.0,1,19,2,0,11,219,12,8,1,2,1,3,0,0,0,0,189,6,4,4,2,0,5,80.0,1,10,9,1,4,10,23,1,3,0.75,3,0,0,0,0,0,0,0.00,281,46,151,120,12,2,281,0,0,,0,,162,805,351,1,4,0,5,1,189,1,0,0,0,3,1,0,1,4,4,0,0,0,16,8,6,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24.0,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.01,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,107,154,69.5,2840,2070,0,0.0,0.0,0.0,1,0,0,0,0,106,48,12,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,0.25,1,0,0,0,0,0,0,0.00,162,136,162,0,0,0,162,0,0,,0,,87,414,234,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,100.0,8,2.00,18,10,55.6,1,1,2,1,25.0,0,0,0,0,4.1,0.23,-3.9,-0.98,18,62,29.0,118,17,34.7,32.6,48,3,6.3,8,2.00,17.2
30,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23.0,2002,4,4,353,3.9,1,0,1,1,0,0,2,0,0.1,0.1,0.4,0.5,0.25,0.13,7,24,10,1,1,100.0,0.25,0.25,1.00,1.00,21.3,0,0,0,0.1,0.1,0.09,+0.9,+0.9,157,190,82.6,2550,741,0,0.4,0.2,-0.4,4,26,3,0,24,187,3,1,2,1,2,2,0,0,0,0,157,11,7,4,5,2,6,66.7,2,3,1,2,7,18,7,0,7,1.78,7,0,0,0,0,0,0,0.00,225,9,39,136,50,3,225,3,1,33.3,2,66.7,127,612,356,7,5,0,3,0,153,10,2,0,0,9,0,0,2,7,7,0,0,0,18,8,7,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,25.0,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.00,0.10,5,7,15,1,1,100.0,0.33,0.33,0.00,0.00,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,119,150,79.3,1890,484,0,0.3,0.3,-0.3,4,6,3,2,7,117,33,3,0,1,5,30,0,0,0,0,119,12,9,9,2,1,9,55.6,4,3,2,1,3,15,14,1,5,1.67,5,0,0,0,0,0,1,0.33,192,17,71,79,43,2,192,4,1,25.0,2,50.0,99,429,212,5,3,0,3,1,100,15,0,0,0,5,6,1,5,3,9,0,0,0,12,7,3,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Marc Aguado,es ESP,MF,Elche,es La Liga,25.0,2000,3,3,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,14,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,135,144,93.8,1997,625,0,0.0,0.0,0.0,0,14,0,0,14,143,1,1,0,0,0,0,0,0,0,0,135,4,2,2,2,0,3,66.7,1,1,1,0,7,11,6,0,2,0.83,1,0,0,0,1,0,0,0.00,164,10,28,126,10,0,164,0,0,,0,,85,320,156,1,1,0,0,0,123,1,0,0,0,2,3,0,0,7,2,0,0,0,6,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29.0,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.05,2,9,0,2,0,0.0,1.00,0.00,0.00,,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,106,119,89.1,1731,663,0,0.0,0.0,0.0,0,12,0,0,9,113,6,2,0,3,2,2,0,0,0,0,106,1,0,1,0,0,0,,0,4,2,2,1,2,11,0,2,1.00,2,0,0,0,0,0,0,0.00,143,14,62,72,9,2,143,1,1,100.0,0,0.0,71,405,222,2,2,0,1,0,93,0,0,0,0,0,1,0,2,1,0,0,0,0,8,4,3,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29.0,1996,1,1,90,1.0,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1.00,0.04,1,3,0,1,1,100.0,1.00,1.00,1.00,1.00,29.2,0,0,0,0.0,0.0,0.04,+1.0,+1.0,114,119,95.8,1773,700,0,0.0,0.1,0.0,0,21,0,0,3,119,0,0,0,0,0,0,0,0,0,0,114,1,1,1,0,0,1,100.0,0,0,0,0,2,3,1,0,0,0.00,0,0,0,0,0,0,0,0.00,123,2,12,107,6,0,123,0,0,,0,,101,385,184,1,1,0,0,1,105,0,0,0,0,2,0,0,0,2,1,0,0,0,6,9,2,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
