Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1638,Nhoa Sangui,fr FRA,DF,Paris FC,fr Ligue 1,19.0,2006,4,2,195,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.06,6,9,12,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,98,115,85.2,1518,454,0,0.1,0.1,-0.1,3,3,3,1,9,95,20,4,0,0,4,16,0,0,0,0,98,3,0,2,1,0,1,100.0,0,1,1,0,0,3,5,0,4,1.85,4,0,0,0,0,0,1,0.46,126,5,38,51,37,1,126,2,1,50.0,0,0.0,62,342,224,6,4,0,1,1,83,12,0,0,0,1,4,0,4,0,0,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Maroan Sannadi,ma MAR,FW,Athletic Club,es La Liga,24.0,2001,4,2,159,1.8,1,0,1,1,0,0,2,0,1.0,1.0,0.6,1.5,0.57,0.87,1,2,9,5,3,60.0,2.83,1.70,0.20,0.33,14.7,0,0,0,1.0,1.0,0.19,0.0,0.0,27,39,69.2,376,52,0,0.6,0.1,-0.6,2,3,0,0,2,39,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,2,0.0,2,1,0,1,1,1,2,0,5,2.83,4,0,0,1,0,0,2,1.13,64,2,9,28,28,9,64,3,1,33.3,2,66.7,35,180,46,1,2,0,9,2,48,9,2,0,0,5,1,1,1,1,0,0,0,0,3,4,6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,24.0,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.00,0.08,1,16,9,4,0,0.0,1.33,0.00,0.00,,22.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,90,113,79.6,1509,521,0,0.0,0.3,0.0,1,12,2,0,16,111,2,1,0,2,4,1,0,0,0,0,90,2,2,1,0,1,4,25.0,3,3,2,1,7,9,9,0,5,1.67,5,0,0,0,0,0,0,0.00,153,9,32,79,42,6,153,3,1,33.3,1,33.3,56,259,112,1,2,0,7,2,67,9,0,0,0,1,4,1,4,7,2,0,0,0,13,7,7,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,31.0,1994,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,3,0,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,17,20,85.0,250,40,0,0.0,0.0,0.0,0,1,0,0,0,20,0,0,0,0,3,0,0,0,0,0,17,1,0,1,0,0,2,50.0,1,1,1,0,0,1,0,0,1,2.37,1,0,0,0,0,0,0,0.00,24,0,2,17,5,1,24,0,0,,0,,21,142,74,3,2,0,1,2,21,1,0,0,0,3,2,0,3,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Baptiste Santamaria,fr FRA,MF,Valencia,es La Liga,30.0,1995,4,2,204,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.05,2,5,2,2,0,0.0,0.88,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,71,95,74.7,1227,382,0,0.0,0.0,0.0,0,7,0,0,5,91,3,3,0,1,1,0,0,0,0,0,71,2,2,1,1,0,1,100.0,0,2,2,0,2,4,8,1,1,0.44,1,0,0,0,0,0,0,0.00,123,15,38,71,15,3,123,2,0,0.0,2,100.0,66,332,156,2,2,1,4,1,78,2,0,0,0,3,1,1,1,2,2,0,0,0,11,6,1,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Andrey Santos,br BRA,MF,Chelsea,eng Premier League,21.0,2004,3,0,51,0.6,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,0.00,0.65,2,3,5,2,1,50.0,3.53,1.76,0.00,0.00,14.1,0,0,0,0.3,0.3,0.15,-0.3,-0.3,20,25,80.0,278,74,0,0.1,0.0,-0.1,2,2,0,0,3,22,1,1,0,0,1,0,0,0,0,0,20,1,1,1,0,0,1,100.0,0,0,0,0,1,2,0,0,2,3.53,2,0,0,0,0,0,0,0.00,30,0,4,19,7,4,30,0,0,,0,,22,109,63,2,0,0,1,0,22,5,1,0,0,2,1,0,1,1,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Amin Sarr,se SWE,FW,Hellas Verona,it Serie A,24.0,2001,2,2,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.00,0.10,3,3,7,1,0,0.0,0.63,0.00,0.00,,22.9,0,0,0,0.0,0.0,0.04,0.0,0.0,19,24,79.2,229,42,0,0.1,0.1,-0.1,1,4,0,0,3,22,2,0,0,0,0,0,0,0,0,0,19,3,2,2,0,1,0,,0,0,0,0,1,4,3,0,3,1.90,2,0,0,0,1,0,0,0.00,45,3,7,24,14,2,45,6,0,0.0,5,83.3,21,133,43,3,0,1,2,1,22,7,0,0,0,3,3,1,0,1,2,0,0,0,6,3,7,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,eng Premier League,27.0,1998,3,3,270,3.0,2,0,2,2,0,0,1,0,2.0,2.0,0.0,2.0,0.67,0.68,4,8,12,3,2,66.7,1.00,0.67,0.67,1.00,5.0,0,0,0,2.0,2.0,0.66,0.0,0.0,39,55,70.9,620,212,0,0.0,0.1,0.0,1,4,2,0,8,55,0,0,1,0,3,0,0,0,0,0,39,3,0,3,0,0,4,25.0,3,2,1,1,1,4,5,0,5,1.67,2,0,0,0,3,0,0,0.00,87,10,20,40,30,3,87,5,1,20.0,2,40.0,42,297,177,4,6,0,8,10,64,12,1,0,0,5,4,2,3,1,0,0,0,0,10,2,5,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,26.0,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,0.00,0.09,0,16,0,3,1,33.3,0.75,0.25,0.00,0.00,7.2,0,0,0,0.4,0.4,0.13,-0.4,-0.4,184,204,90.2,3726,1117,0,0.0,0.0,0.0,0,17,0,0,16,185,19,10,0,2,1,0,0,0,0,0,184,6,4,4,2,0,3,66.7,1,5,3,2,10,16,14,0,4,1.00,2,0,0,1,0,1,0,0.00,244,50,141,87,16,5,244,1,1,100.0,0,0.0,119,376,155,0,1,0,0,2,134,0,1,0,0,1,4,0,1,10,4,0,0,0,15,8,3,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Mamadou Sarr,fr FRA,DF,Strasbourg,fr Ligue 1,20.0,2005,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.01,4,11,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,259,274,94.5,4957,1918,0,0.0,0.1,0.0,1,17,0,0,11,254,20,9,0,1,0,6,0,0,0,0,259,12,9,4,7,1,7,57.1,3,3,0,3,0,12,19,0,5,1.25,5,0,0,0,0,0,0,0.00,316,25,123,183,11,1,316,3,2,66.7,1,33.3,199,911,437,4,0,0,2,2,219,2,1,0,0,3,2,0,0,0,9,0,0,0,25,10,7,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
